date,precipIntensity,precipProbability,precipAccumulation,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windBearing,windGust,cloudCover,uvIndex,visibility,ozone,production
2017-10-23 00:00:00-06:00,0.0,0.0,,,56.4,56.4,23.24,0.27,,3.45,50.0,4.96,0.0,0.0,9.997,,
2017-10-23 01:00:00-06:00,0.0,0.0,,,57.83,57.83,23.48,0.26,1025.6,3.87,14.0,5.82,0.0,0.0,9.997,,
2017-10-23 02:00:00-06:00,0.0,0.0,,,58.32,58.32,22.89,0.25,1025.7,5.73,35.0,7.64,0.0,0.0,9.997,,
2017-10-23 03:00:00-06:00,0.0,0.0,,,56.42,56.42,23.65,0.28,1025.7,3.99,33.0,9.88,0.0,0.0,9.997,,
2017-10-23 04:00:00-06:00,0.0,0.0,,,55.3,55.3,22.57,0.28,1025.8,4.99,57.0,8.47,0.0,0.0,9.997,,
2017-10-23 05:00:00-06:00,0.0,0.0,,,56.54,56.54,23.64,0.28,1025.6,3.35,50.0,6.23,0.0,0.0,9.997,,
2017-10-23 06:00:00-06:00,0.0,0.0,,,54.48,54.48,22.87,0.29,1025.9,2.54,40.0,6.63,0.0,0.0,9.997,,
2017-10-23 07:00:00-06:00,0.0,0.0,,,54.07,54.07,23.23,0.3,1026.4,4.19,68.0,7.44,0.0,0.0,9.997,,
2017-10-23 08:00:00-06:00,0.0,0.0,,,54.14,54.14,22.3,0.29,1027.6,2.33,64.0,6.17,0.0,0.0,9.997,,
2017-10-23 09:00:00-06:00,0.0,0.0,,,55.81,55.81,22.54,0.27,1028.6,2.84,94.0,7.97,0.0,0.0,9.997,,
2017-10-23 10:00:00-06:00,0.0,0.0,,,62.67,62.67,24.44,0.23,1029.1,2.88,130.0,7.9,0.0,1.0,9.997,,
2017-10-23 11:00:00-06:00,0.0,0.0,,,64.54,64.54,27.56,0.25,1029.0,5.31,106.0,9.06,0.0,3.0,9.997,,
2017-10-23 12:00:00-06:00,0.0,0.0,,,69.65,69.65,27.63,0.21,1028.0,7.26,267.0,10.21,0.0,4.0,9.997,,
2017-10-23 13:00:00-06:00,0.0,0.0,,,71.84,71.84,27.72,0.19,1027.1,7.4,278.0,12.2,0.0,5.0,9.997,,3909.0
2017-10-23 14:00:00-06:00,0.0,0.0,,,78.23,78.23,28.36,0.16,1025.7,7.3,255.0,12.22,0.0,4.0,9.997,,4992.0
2017-10-23 15:00:00-06:00,0.0,0.0,,,79.86,79.86,30.76,0.17,1024.4,8.39,309.0,16.47,0.0,3.0,9.997,,4540.0
2017-10-23 16:00:00-06:00,0.0,0.0,,,81.81,81.81,32.13,0.17,1023.7,11.2,345.0,17.44,0.0,2.0,9.997,,3604.0
2017-10-23 17:00:00-06:00,0.0,0.0,,,80.52,80.52,32.11,0.17,1023.4,10.01,325.0,17.55,0.0,1.0,9.997,,2784.0
2017-10-23 18:00:00-06:00,0.0,0.0,,,78.9,78.9,33.93,0.2,1023.5,9.15,316.0,22.32,0.0,0.0,9.997,,923.0
2017-10-23 19:00:00-06:00,0.0,0.0,,,75.89,75.89,34.19,0.22,1023.9,8.88,324.0,20.79,0.0,0.0,9.997,,
2017-10-23 20:00:00-06:00,0.0,0.0,,,73.19,73.19,35.3,0.25,1024.8,14.65,350.0,21.47,0.0,0.0,9.997,,
2017-10-23 21:00:00-06:00,0.0,0.0,,,71.97,71.97,35.14,0.26,1025.0,18.68,356.0,24.85,0.0,0.0,9.997,,
2017-10-23 22:00:00-06:00,0.0,0.0,,,68.73,68.73,34.45,0.28,1027.0,7.49,16.0,19.85,0.0,0.0,9.997,,
2017-10-23 23:00:00-06:00,0.0,0.0,,,67.55,67.55,30.47,0.25,,10.26,45.0,22.84,0.0,0.0,9.997,,
2017-10-24 00:00:00-06:00,0.0,0.0,,,65.61,65.61,32.26,0.29,,7.72,21.0,18.39,0.09,0.0,9.997,,
2017-10-24 01:00:00-06:00,0.0,0.0,,,65.88,65.88,33.99,0.31,,8.85,16.0,17.79,0.0,0.0,9.997,,
2017-10-24 02:00:00-06:00,0.0,0.0,,,65.14,65.14,32.36,0.29,1026.9,10.44,17.0,13.93,0.0,0.0,9.997,,
2017-10-24 03:00:00-06:00,0.0,0.0,,,63.13,63.13,32.74,0.32,,5.7,25.0,22.56,0.0,0.0,9.997,,
2017-10-24 04:00:00-06:00,0.0,0.0,,,62.71,62.71,33.45,0.33,1027.1,6.98,54.0,16.59,0.0,0.0,9.997,,
2017-10-24 05:00:00-06:00,0.0,0.0,,,61.31,61.31,32.95,0.34,1027.5,7.73,39.0,16.36,0.0,0.0,9.997,,
2017-10-24 06:00:00-06:00,0.0,0.0,,,61.14,61.14,30.21,0.31,,8.9,26.0,17.87,0.0,0.0,9.997,,
